,Program Adı,Alt Program Adı,Faaliyet Adı,Kurum/Birim,Alt Faaliyet Adı,Finansman,Ekonomik,Tertip,İşlemler,2022,2023,2024,2021 YSHT,2022 Tavan Üstü,2021 KBÖ
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,"PLANLAMA, PROGRAMLAMA, İZLEME VE ANALİZ",Üst Politika Belgelerinin İzlenmesi ve Değerlendirilmesi,EKONOMİK PROGRAMLAR VE ARAŞTIRMALAR GENEL MÜDÜRLÜĞÜ,Üst Politika Belgelerinin İzlenmesi ve Değerlendirilmesi (EPA)),Genel Bütçeli İdareler,Büro ve İşyeri Mal ve Malzeme Alımları,38.180.541.8468-0012.0045-01-03.07.10.01,,0.00,0.00,0.00,0.00,0.00,"14,000.00"
,STRATEJİK YÖNETİM VE KAYNAK TAHSİSİ,"PLANLAMA, PROGRAMLAMA, İZLEME VE ANALİZ",Üst Politika Belgelerinin İzlenmesi ve Değerlendirilmesi,EKONOMİK PROGRAMLAR VE ARAŞTIRMALAR GENEL MÜDÜRLÜĞÜ,Üst Politika Belgelerinin İzlenmesi ve Değerlendirilmesi (EPA)),Genel Bütçeli İdareler,Büro ve İşyeri Makine ve Techizat Alımları,38.180.541.8468-0012.0045-01-03.07.10.02,,0.00,0.00,0.00,0.00,0.00,"13,000.00"
-> Su Kanalizasyon ve Altyapı Desteği (SUKAP),,,,,,,,,,0.00,0.00,"1,187,251,000.00",0.00,0.00,"896,653,000.00"
,SÜRDÜRÜLEBİLİR ÇEVRE VE İKLİM DEĞİŞİKLİĞİ,ÇEVRE KİRLİLİĞİNİN ÖNLENMESİ VE KORUMA,Su Kanalizasyon ve Altyapı Desteği (SUKAP),KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Su Kanalizasyon ve Altyapı Desteği (SUKAP),Genel Bütçeli İdareler,İl Özel İdarelerine,21.51.285.230-0012.0031-01-07.03.50.01,,"1,012,153,000.00","1,100,775,000.00","1,187,251,000.00",0.00,0.00,"896,653,000.00"
-> Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,,,,,,,,,,0.00,0.00,"3,228,008,000.00",0.00,0.00,"1,367,000,000.00"
,TARIM,BİTKİSEL ÜRÜNLERDE ARZ GÜVENLİĞİ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,Genel Bütçeli İdareler,Toprak Mahsulleri Ofisi'ne,39.109.287.232-0012.0040-01-05.01.10.03,,0.00,0.00,0.00,0.00,0.00,"616,000,000.00"
,TARIM,BİTKİSEL ÜRÜNLERDE ARZ GÜVENLİĞİ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,Genel Bütçeli İdareler,Türkiye Şeker Fabrikaları A.Ş.'ye,39.109.287.232-0012.0040-01-05.01.10.12,,0.00,0.00,0.00,0.00,0.00,"1,000,000.00"
,TARIM,BİTKİSEL ÜRÜNLERDE ARZ GÜVENLİĞİ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,Genel Bütçeli İdareler,Çay İşletmeleri Genel Müdürlüğü'ne,39.109.287.232-0012.0040-01-08.01.60.04,,"1,230,000,000.00","1,280,000,000.00","1,280,000,000.00",0.00,0.00,"750,000,000.00"
,TARIM,BİTKİSEL ÜRÜNLERDE ARZ GÜVENLİĞİ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri (Toprak Mahsulleri Ofisi'ne),Genel Bütçeli İdareler,Toprak Mahsulleri Ofisi'ne,39.109.287.18205-0012.0040-01-05.01.10.03,,"2,075,985,000.00","1,746,756,000.00","1,017,008,000.00",0.00,0.00,0.00
,TARIM,BİTKİSEL ÜRÜNLERDE ARZ GÜVENLİĞİ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri (Türkiye Şeker Fabrikaları A.Ş.'ye),Genel Bütçeli İdareler,Türkiye Şeker Fabrikaları A.Ş.'ye,39.109.287.18206-0012.0040-01-05.01.10.12,,"1,000,000.00","1,000,000.00","1,000,000.00",0.00,0.00,0.00
,TARIM,BİTKİSEL ÜRÜNLERDE ARZ GÜVENLİĞİ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Bitkisel Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri (Türkiye Şeker Fabrikaları A.Ş.'ye),Genel Bütçeli İdareler,Türkiye Şeker Fabrikaları A.Ş.'ye,39.109.287.18206-0012.0040-01-08.01.60.12,,"930,000,000.00","930,000,000.00","930,000,000.00",0.00,0.00,0.00
-> Hayvansal Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,,,,,,,,,,0.00,0.00,"300,000,000.00",0.00,0.00,"622,000,000.00"
,TARIM,HAYVANSAL ÜRÜNLERDE ARZ GÜVENLİĞİ,Hayvansal Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Et ve Süt Kurumu,Genel Bütçeli İdareler,Et ve Süt Kurumu Genel Müdürlüğü'ne,39.108.286.14988-0012.0040-01-05.01.10.16,,"57,713,000.00","15,000,000.00",0.00,0.00,0.00,"422,000,000.00"
,TARIM,HAYVANSAL ÜRÜNLERDE ARZ GÜVENLİĞİ,Hayvansal Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Et ve Süt Kurumu,Genel Bütçeli İdareler,Et ve Süt Kurumu Genel Müdürlüğü'ne,39.108.286.14988-0012.0040-01-08.01.60.16,,"400,000,000.00","250,000,000.00","100,000,000.00",0.00,0.00,0.00
,TARIM,HAYVANSAL ÜRÜNLERDE ARZ GÜVENLİĞİ,Hayvansal Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Hayvansal Ürünlerde Arz Güvenliğini Sağlamaya Yönelik Kamu Sermayeli Kuruluş Faaliyetleri,Genel Bütçeli İdareler,Tarım İşletmeleri Genel Müdürlüğü'ne,39.108.286.231-0012.0040-01-08.01.60.02,,"200,000,000.00","200,000,000.00","200,000,000.00",0.00,0.00,"200,000,000.00"
-> Tarım Sektörüne Yönelik Faiz Desteği Sağlanması,,,,,,,,,,0.00,0.00,"11,477,754,000.00",0.00,0.00,"5,453,295,000.00"
,TARIM,TARIM ARZ GÜVENLİĞİNE YÖNELİK KREDİ DESTEKLERİ,Tarım Sektörüne Yönelik Faiz Desteği Sağlanması,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Tarım Sektörüne Yönelik Faiz Desteği Sağlanması,Genel Bütçeli İdareler,Ziraat Bankasına,39.110.288.233-0012.0040-01-05.01.30.01,,"9,785,000,000.00","10,641,751,000.00","11,477,754,000.00",0.00,0.00,"5,453,295,000.00"
-> Tarımsal Kredilere İlişkin Aciz Vesikası Ödemeleri,,,,,,,,,,0.00,0.00,"12,500,000.00",0.00,0.00,"28,000,000.00"
,TARIM,TARIM ARZ GÜVENLİĞİNE YÖNELİK KREDİ DESTEKLERİ,Tarımsal Kredilere İlişkin Aciz Vesikası Ödemeleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Aciz Vesikası Ödemeleri,Genel Bütçeli İdareler,Tarım Kredi Kooperatiflerine,39.110.289.234-0012.0040-01-05.01.10.11,,"13,500,000.00","9,000,000.00","6,500,000.00",0.00,0.00,"13,500,000.00"
,TARIM,TARIM ARZ GÜVENLİĞİNE YÖNELİK KREDİ DESTEKLERİ,Tarımsal Kredilere İlişkin Aciz Vesikası Ödemeleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Aciz Vesikası Ödemeleri,Genel Bütçeli İdareler,Ziraat Bankasına,39.110.289.234-0012.0040-01-05.01.30.01,,"9,000,000.00","9,000,000.00","6,000,000.00",0.00,0.00,"14,500,000.00"
-> Üniversite Genel Hastane Hizmetleri,,,,,,,,,,0.00,0.00,"1,000,000,000.00",0.00,0.00,0.00
,TEDAVİ EDİCİ SAĞLIK,TEDAVİ HİZMETLERİ,Üniversite Genel Hastane Hizmetleri,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Üniversite Hastanelerinin Döner Sermaye İşletmelerine Yapılan Ödemeler,Genel Bütçeli İdareler,Üniversite Döner Sermaye Bütçelerine Hazine Yardımı,54.167.753.16868-0012.0032-01-05.02.90.11,,"1,000,000,000.00",0.00,"1,000,000,000.00",0.00,0.00,0.00
-> İlköğretimde Taşıma Yoluyla Eğitime Erişimde Öğle Yemeği,,,,,,,,,,0.00,0.00,"1,227,000,000.00",0.00,0.00,"889,000,000.00"
,TEMEL EĞİTİM,EĞİTİME ERİŞİM VE FIRSAT EŞİTLİĞİ,İlköğretimde Taşıma Yoluyla Eğitime Erişimde Öğle Yemeği,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),İlköğretimde Taşıma Yoluyla Eğitime Erişimde Öğle Yemeği,Genel Bütçeli İdareler,Sosyal Yardımlaşma ve Dayanışmayı Teşvik Fonuna Verilen Paylar,40.98.846.12667-0012.0032-01-05.08.60.02,,"916,000,000.00","1,076,000,000.00","1,227,000,000.00",0.00,0.00,"889,000,000.00"
-> İlköğretimde Ücretsiz Ders Kitabı Dağıtımı,,,,,,,,,,0.00,0.00,"717,000,000.00",0.00,0.00,"540,000,000.00"
,TEMEL EĞİTİM,EĞİTİME ERİŞİM VE FIRSAT EŞİTLİĞİ,İlköğretimde Ücretsiz Ders Kitabı Dağıtımı,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),İlköğretimde Ücretsiz Ders Kitabı Dağıtımı,Genel Bütçeli İdareler,Sosyal Yardımlaşma ve Dayanışmayı Teşvik Fonuna Verilen Paylar,40.98.290.9935-0012.0032-01-05.08.60.02,,"610,000,000.00","664,000,000.00","717,000,000.00",0.00,0.00,"540,000,000.00"
-> İlköğretim,,,,,,,,,,0.00,0.00,"258,059,000.00",0.00,0.00,0.00
,TEMEL EĞİTİM,OKUL ÖNCESİ EĞİTİM VE İLKÖĞRETİM,İlköğretim,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,İlköğretim,Genel Bütçeli İdareler,Türkiye Kömür İşletmeleri Kurumu'na,40.149.423.17380-0012.0040-01-05.01.10.15,,"220,000,000.00","239,263,000.00","258,059,000.00",0.00,0.00,0.00
-> Okul Öncesi Eğitim,,,,,,,,,,0.00,0.00,"12,903,000.00",0.00,0.00,0.00
,TEMEL EĞİTİM,OKUL ÖNCESİ EĞİTİM VE İLKÖĞRETİM,Okul Öncesi Eğitim,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Okul Öncesi Eğitim,Genel Bütçeli İdareler,Türkiye Kömür İşletmeleri Kurumu'na,40.149.422.17381-0012.0040-01-05.01.10.15,,"11,000,000.00","11,963,000.00","12,903,000.00",0.00,0.00,0.00
-> Türkiye Odalar ve Borsalar Birliğine Verilen Paylar,,,,,,,,,,0.00,0.00,"185,007,000.00",0.00,0.00,0.00
,"TİCARETİN DÜZENLENMESİ, GELİŞTİRİLMESİ VE KOLAYLAŞTIRILMASI",İÇ TİCARETİN DÜZENLENMESİ VE GELİŞTİRİLMESİ,Türkiye Odalar ve Borsalar Birliğine Verilen Paylar,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Türkiye Odalar ve Borsalar Birliğine Verilen Paylar,Genel Bütçeli İdareler,Türkiye Odalar ve Borsalar Birliğine Verilen Paylar,41.196.831.7006-0012.0032-01-05.08.90.02,,"141,941,000.00","164,912,000.00","185,007,000.00",0.00,0.00,0.00
-> İhracatın Eximbank A.Ş. Aracılığıyla Desteklenmesi,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,"100,000,000.00"
,"TİCARETİN DÜZENLENMESİ, GELİŞTİRİLMESİ VE KOLAYLAŞTIRILMASI",İHRACATIN DESTEKLENMESİ,İhracatın Eximbank A.Ş. Aracılığıyla Desteklenmesi,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,İhracatın Eximbank A.Ş. Aracılığıyla Desteklenmesi,Genel Bütçeli İdareler,Türk Eximbanka,41.111.292.237-0012.0040-01-08.01.62.03,,"100,000,000.00","110,000,000.00",0.00,0.00,0.00,"100,000,000.00"
-> Savunma Sanayiinin Geliştirilmesi ve Millileştirilmesi,,,,,,,,,,0.00,0.00,"41,048,383,000.00",0.00,0.00,"22,499,922,000.00"
,ULUSAL SAVUNMA VE GÜVENLİK,GÜÇLÜ SAVUNMA SANAYİİ EKOSİSTEMİ,Savunma Sanayiinin Geliştirilmesi ve Millileştirilmesi,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Savunma Sanayiinin Geliştirilmesi ve Millileştirilmesi,Genel Bütçeli İdareler,Savunma Sanayi Destekleme Fonuna Verilen Paylar,43.174.294.239-0012.0032-01-05.08.60.01,,"31,273,682,000.00","35,666,530,000.00","41,048,383,000.00",0.00,0.00,"22,499,922,000.00"
-> Yerli Savunma Sanayii Ürünleri Finansman Desteği,,,,,,,,,,0.00,0.00,"2,432,146,000.00",0.00,0.00,"1,836,841,000.00"
,ULUSAL SAVUNMA VE GÜVENLİK,GÜÇLÜ SAVUNMA SANAYİİ EKOSİSTEMİ,Yerli Savunma Sanayii Ürünleri Finansman Desteği,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Yerli Savunma Sanayii Ürünleri Finansman Desteği,Genel Bütçeli İdareler,Yerli Savunma Sanayii Ürünleri Finansman Desteği,43.174.295.240-0012.0032-01-05.04.80.22,,"2,073,449,000.00","2,254,996,000.00","2,432,146,000.00",0.00,0.00,"1,836,841,000.00"
-> Belediyelere Denkleştirme Ödeneği Verilmesi,,,,,,,,,,0.00,0.00,"977,399,000.00",0.00,0.00,"673,860,000.00"
,YEREL YÖNETİMLERİN  GÜÇLENDİRİLMESİ,YEREL YÖNETİMLERİN MALİ YAPISININ GÜÇLENDİRİLMESİ,Belediyelere Denkleştirme Ödeneği Verilmesi,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Belediyelere Denkleştirme Ödeneği Verilmesi,Genel Bütçeli İdareler,Belediyelere,22.114.297.12569-0012.0031-01-05.02.50.02,,"833,251,000.00","906,208,000.00","977,399,000.00",0.00,0.00,"673,860,000.00"
-> Devredilen Köy Hizmetleri Personeli Maaş Ödemelerine Yardım,,,,,,,,,,0.00,0.00,"1,688,751,000.00",0.00,0.00,"1,317,327,000.00"
,YEREL YÖNETİMLERİN  GÜÇLENDİRİLMESİ,YEREL YÖNETİMLERİN MALİ YAPISININ GÜÇLENDİRİLMESİ,Devredilen Köy Hizmetleri Personeli Maaş Ödemelerine Yardım,KAMU MALİ YÖNETİM VE DÖNÜŞÜM GENEL MÜDÜRLÜĞÜ,Devredilen Köy Hizmetleri Personeli Maaş Ödemelerine Yardım,Genel Bütçeli İdareler,İl Özel İdarelerine,22.114.298.243-0012.0031-01-05.02.50.01,,"1,452,353,000.00","1,578,272,000.00","1,688,751,000.00",0.00,0.00,"1,317,327,000.00"
-> Genel Bütçe Vergi Gelirlerinden Mahalli İdarelere  Pay Verilmesi,,,,,,,,,,0.00,0.00,"194,067,343,000.00",0.00,0.00,"106,943,239,000.00"
,YEREL YÖNETİMLERİN  GÜÇLENDİRİLMESİ,YEREL YÖNETİMLERİN MALİ YAPISININ GÜÇLENDİRİLMESİ,Genel Bütçe Vergi Gelirlerinden Mahalli İdarelere  Pay Verilmesi,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Genel Bütçe Vergi Gelirlerinden Mahalli İdarelere  Pay Verilmesi,Genel Bütçeli İdareler,Genel Bütçe Gelirlerinden İl Özel İdarelerine Ayrılan Paylar,22.114.296.241-0012.0032-01-05.08.50.01,,"6,209,247,000.00","7,099,117,000.00","8,064,366,000.00",0.00,0.00,"4,561,479,000.00"
,YEREL YÖNETİMLERİN  GÜÇLENDİRİLMESİ,YEREL YÖNETİMLERİN MALİ YAPISININ GÜÇLENDİRİLMESİ,Genel Bütçe Vergi Gelirlerinden Mahalli İdarelere  Pay Verilmesi,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Genel Bütçe Vergi Gelirlerinden Mahalli İdarelere  Pay Verilmesi,Genel Bütçeli İdareler,Genel Bütçe Gelirlerinden Büyükşehir Belediyelere Ayrılan Paylar,22.114.296.241-0012.0032-01-05.08.50.02,,"68,611,351,000.00","78,534,018,000.00","89,228,972,000.00",0.00,0.00,"47,628,259,000.00"
,YEREL YÖNETİMLERİN  GÜÇLENDİRİLMESİ,YEREL YÖNETİMLERİN MALİ YAPISININ GÜÇLENDİRİLMESİ,Genel Bütçe Vergi Gelirlerinden Mahalli İdarelere  Pay Verilmesi,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Genel Bütçe Vergi Gelirlerinden Mahalli İdarelere  Pay Verilmesi,Genel Bütçeli İdareler,Genel Bütçe Gelirlerinden Diğer Belediyelere Ayrılan Paylar,22.114.296.241-0012.0032-01-05.08.50.03,,"18,627,740,000.00","21,297,352,000.00","24,193,099,000.00",0.00,0.00,"13,684,438,000.00"
,YEREL YÖNETİMLERİN  GÜÇLENDİRİLMESİ,YEREL YÖNETİMLERİN MALİ YAPISININ GÜÇLENDİRİLMESİ,Genel Bütçe Vergi Gelirlerinden Mahalli İdarelere  Pay Verilmesi,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Genel Bütçe Vergi Gelirlerinden Mahalli İdarelere  Pay Verilmesi,Genel Bütçeli İdareler,Genel Bütçe Gelirlerinden Büyükşehir İlçe Belediyelerine Ayrılan Paylar,22.114.296.241-0012.0032-01-05.08.50.04,,"55,884,574,000.00","63,893,535,000.00","72,580,906,000.00",0.00,0.00,"41,069,063,000.00"
-> Elektrik Tüketim Desteği İçin Ayrılan Pay,,,,,,,,,,0.00,0.00,"3,320,322,000.00",0.00,0.00,"1,518,798,000.00"
,YOKSULLUKLA MÜCADELE VE SOSYAL YARDIMLAŞMA,SOSYAL YARDIMLAŞMA,Elektrik Tüketim Desteği İçin Ayrılan Pay,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Elektrik Tüketim Desteği İçin Ayrılan Pay,Genel Bütçeli İdareler,Sosyal Yardımlaşma ve Dayanışmayı Teşvik Fonuna Verilen Paylar,11.31.304.249-0012.0032-01-05.08.60.02,,"2,442,155,000.00","2,860,388,000.00","3,320,322,000.00",0.00,0.00,"1,518,798,000.00"
-> Muhtaç Ailelere Kömür Yardımı,,,,,,,,,,0.00,0.00,"1,888,583,000.00",0.00,0.00,"1,515,700,000.00"
,YOKSULLUKLA MÜCADELE VE SOSYAL YARDIMLAŞMA,SOSYAL YARDIMLAŞMA,Muhtaç Ailelere Kömür Yardımı,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Muhtaç Ailelere Kömür Yardımı,Genel Bütçeli İdareler,Türkiye Taşkömürü Kurumu'na,11.31.847.14840-0012.0040-01-05.01.10.09,,0.00,0.00,0.00,0.00,0.00,"35,700,000.00"
,YOKSULLUKLA MÜCADELE VE SOSYAL YARDIMLAŞMA,SOSYAL YARDIMLAŞMA,Muhtaç Ailelere Kömür Yardımı,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Muhtaç Ailelere Kömür Yardımı,Genel Bütçeli İdareler,Türkiye Kömür İşletmeleri Kurumu'na,11.31.847.14840-0012.0040-01-05.01.10.15,,0.00,0.00,0.00,0.00,0.00,"1,480,000,000.00"
,YOKSULLUKLA MÜCADELE VE SOSYAL YARDIMLAŞMA,SOSYAL YARDIMLAŞMA,Muhtaç Ailelere Kömür Yardımı,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Muhtaç Ailelere Kömür Yardımı (Türkiye Kömür  İşletmeleri Kurumu'na),Genel Bütçeli İdareler,Türkiye Kömür İşletmeleri Kurumu'na,11.31.847.18203-0012.0040-01-05.01.10.15,,"1,350,000,000.00","1,651,594,000.00","1,830,583,000.00",0.00,0.00,0.00
,YOKSULLUKLA MÜCADELE VE SOSYAL YARDIMLAŞMA,SOSYAL YARDIMLAŞMA,Muhtaç Ailelere Kömür Yardımı,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Muhtaç Ailelere Kömür Yardımı (Türkiye Taşkömürü Kurumu'na),Genel Bütçeli İdareler,Türkiye Taşkömürü Kurumu'na,11.31.847.18202-0012.0040-01-05.01.10.09,,"42,000,000.00","53,500,000.00","58,000,000.00",0.00,0.00,0.00
-> Muhtaç Asker Ailelerine Yardım İçin Ayrılan Pay,,,,,,,,,,0.00,0.00,"219,320,000.00",0.00,0.00,"155,804,000.00"
,YOKSULLUKLA MÜCADELE VE SOSYAL YARDIMLAŞMA,SOSYAL YARDIMLAŞMA,Muhtaç Asker Ailelerine Yardım İçin Ayrılan Pay,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Muhtaç Asker Ailelerine Yardım İçin Ayrılan Pay,Genel Bütçeli İdareler,Sosyal Yardımlaşma ve Dayanışmayı Teşvik Fonuna Verilen Paylar,11.31.302.247-0012.0032-01-05.08.60.02,,"161,314,000.00","188,940,000.00","219,320,000.00",0.00,0.00,"155,804,000.00"
"-> Öksüz, Yetim ve Muhtaç Asker Çocuğu İçin Ayrılan Pay",,,,,,,,,,0.00,0.00,"108,328,000.00",0.00,0.00,"80,197,000.00"
,YOKSULLUKLA MÜCADELE VE SOSYAL YARDIMLAŞMA,SOSYAL YARDIMLAŞMA,"Öksüz, Yetim ve Muhtaç Asker Çocuğu İçin Ayrılan Pay",MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Öksüz ve Yetim Yardımı İçin Ayrılan Pay,Genel Bütçeli İdareler,Sosyal Yardımlaşma ve Dayanışmayı Teşvik Fonuna Verilen Paylar,11.31.303.248-0012.0032-01-05.08.60.02,,"79,677,000.00","93,322,000.00","108,328,000.00",0.00,0.00,"80,197,000.00"
-> Şartlı Nakit Transferleri İçin Ayrılan Pay,,,,,,,,,,0.00,0.00,"2,519,000,000.00",0.00,0.00,"1,664,205,000.00"
,YOKSULLUKLA MÜCADELE VE SOSYAL YARDIMLAŞMA,SOSYAL YARDIMLAŞMA,Şartlı Nakit Transferleri İçin Ayrılan Pay,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Şartlı Nakit Transferleri İçin Ayrılan Pay,Genel Bütçeli İdareler,Sosyal Yardımlaşma ve Dayanışmayı Teşvik Fonuna Verilen Paylar,11.31.300.9936-0012.0032-01-05.08.60.02,,"1,852,769,000.00","2,170,066,000.00","2,519,000,000.00",0.00,0.00,"1,664,205,000.00"
-> Sosyal Yardımlaşma ve Dayanışmayı Teşvik Kanununun Amaçlarını Gerçekleştirmeye Yönelik Diğer Destekler İçin Ayrılan Pay,,,,,,,,,,0.00,0.00,"10,739,724,000.00",0.00,0.00,"4,137,002,000.00"
,YOKSULLUKLA MÜCADELE VE SOSYAL YARDIMLAŞMA,SOSYAL YARDIMLAŞMA,Sosyal Yardımlaşma ve Dayanışmayı Teşvik Kanununun Amaçlarını Gerçekleştirmeye Yönelik Diğer Destekler İçin Ayrılan Pay,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Sosyal Yardımlaşma ve Dayanışmayı Teşvik Kanununun Amaçlarını Gerçekleştirmeye Yönelik Diğer Destekler İçin Ayrılan Pay,Genel Bütçeli İdareler,Sosyal Yardımlaşma ve Dayanışmayı Teşvik Fonuna Verilen Paylar,11.31.299.244-0012.0032-01-05.08.60.02,,"7,899,255,000.00","9,252,046,000.00","10,739,724,000.00",0.00,0.00,"4,137,002,000.00"
-> Hukuki Danışmanlık ve Muhakemat Hizmetleri,,,,,,,,,,0.00,0.00,"211,497,000.00",0.00,0.00,"149,042,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"TEFTİŞ, DENETİM VE DANIŞMANLIK HİZMETLERİ",Hukuki Danışmanlık ve Muhakemat Hizmetleri,BAŞHUKUK MÜŞAVİRLİĞİ VE MUHAKEMAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Anayasa Mahkemesine Bireysel Başvuru Hizmetleri,Genel Bütçeli İdareler,Bireysel Başvuru Tazminat Ödemeleri,98.901.9010.14940-0012.0030-01-03.04.20.05,,"25,360,000.00","27,580,000.00","29,747,000.00",0.00,0.00,"14,500,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"TEFTİŞ, DENETİM VE DANIŞMANLIK HİZMETLERİ",Hukuki Danışmanlık ve Muhakemat Hizmetleri,BAŞHUKUK MÜŞAVİRLİĞİ VE MUHAKEMAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Hukuki Danışmanlık ve Muhakemat İşleri,Genel Bütçeli İdareler,Temel Maaşlar,98.901.9010.10952-0012.0030-01-01.01.10.01,,"5,632,000.00","6,529,000.00","7,274,000.00",0.00,0.00,"5,355,000.00"
,YÖNETİM VE DESTEK PROGRAMI,"TEFTİŞ, DENETİM VE DANIŞMANLIK HİZMETLERİ",Hukuki Danışmanlık ve Muhakemat Hizmetleri,BAŞHUKUK MÜŞAVİRLİĞİ VE MUHAKEMAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Hukuki Danışmanlık ve Muhakemat İşleri,Genel Bütçeli İdareler,Taban Aylığı,98.901.9010.10952-0012.0030-01-01.01.10.02,,"2,111,000.00","2,447,000.00","2,726,000.00",0.00,0.00,"308,000.00"
